"urdu","roman"
"اخر اخر تو یہ عالم ہی کہ اب ہوش نہیں","akhir akhir to ye aalam hai ki ab hosh nahin"
"رگ مینا سلگ اٹہی کہ رگ جاں جاناں","ragemina sulag utthi ki ragejan janan"
"مدتوں سی یہی عالم نہ توقع نہ امید","muddaton se yahi aalam na tavaqqo na umiid"
"دل پکاری ہی چلا جاتا ہی جاناں جاناں","dil pukare hi chala jaata hai janan janan"
"ہم بہی کیا سادہ تہی ہم نی بہی سمجہ رکہا تہا","ham bhi kya saada the ham ne bhi samajh rakkha tha"
"غم دوراں سی جدا ہی غم جاناں جاناں","ghamedauran se juda hai ghamejanan janan"
"اب کی کچہ ایسی سجی محفل یاراں جاناں","ab ke kuchh aisi saji mahfileyaran janan"
"سر بہ زانو ہی کوئی سر بہ گریباں جاناں","sarbazanu hai koi sarbagareban janan"
"ہر کوئی اپنی ہی اواز سی کانپ اٹہتا ہی","har koi apni hi avaz se kaanp uthta hai"
"ہر کوئی اپنی ہی سائی سی ہراساں جاناں","har koi apne hi saae se hirasan janan"
"جس کو دیکہو وہی زنجیر بہ پا لگتا ہی","jis ko dekho vahi zanjirbapa lagta hai"
"شہر کا شہر ہوا داخل زنداں جاناں","shahr ka shahr hua dakhilezindan janan"
"اب ترا ذکر بہی شاید ہی غزل میں ائی","ab tira zikr bhi shayad hi ghazal men aae"
"اور سی اور ہوئی درد کی عنواں جاناں","aur se aur hue dard ke unvan janan"
"ہم کہ روٹہی ہوئی رت کو بہی منا لیتی تہی","ham ki ruthi hui rut ko bhi mana lete the"
"ہم نی دیکہا ہی نہ تہا موسم ہجراں جاناں","ham ne dekha hi na tha mausamehijran janan"
"ہوش ایا تو سبہی خواب تہی ریزہ ریزہ","hosh aaya to sabhi khvab the reza reza"
"جیسی اڑتی ہوئی اوراق پریشاں جاناں","jaise udte hue auraqepareshan janan"
"اب کیا سوچیں کیا حالات تہی کس کارن یہ زہر پیا ہی","ab kya sochen kya halat the kis karan ye zahr piya hai"
"ہم نی اس کی شہر کو چہوڑا اور انکہوں کو موند لیا ہی","ham ne us ke shahr ko chhoda aur ankhon ko muund liya hai"
"اپنا یہ شیوہ تو نہیں تہا اپنی غم اوروں کو سونپیں","apna ye sheva to nahin tha apne gham auron ko saunpen"
"خود تو جاگتی یا سوتی ہیں اس کو کیوں بی خواب کیا ہی","khud to jagte ya sote hain us ko kyuun bekhvab kiya hai"
"خلقت کی اوازی بہی تہی بند اس کی دروازی بہی تہی","khilqat ke avaze bhi the band us ke darvaze bhi the"
"پہر بہی اس کوچی سی گزری پہر بہی اس کا نام لیا ہی","phir bhi us kuche se guzre phir bhi us ka naam liya hai"
"ہجر کی رت جاں لیوا تہی پر غلط سبہی اندازی نکلی","hijr ki rut janleva thi par ghalat sabhi andaze nikle"
"تازہ رفاقت کی موسم تک میں بہی جیا ہوں وہ بہی جیا ہی","taaza rifaqat ke mausam tak main bhi jiya huun vo bhi jiya hai"
"ایک فرازؔ تمہیں تنہا ہو جو اب تک دکہ کی رسیا ہو","ek faraz tumhin tanha ho jo ab tak dukh ke rasiya ho"
"ورنہ اکثر دل والوں نی درد کا رستہ چہوڑ دیا ہی","varna aksar dil valon ne dard ka rasta chhod diya hai"
"اب شوق سی کہ جاں سی گزر جانا چاہیئی","ab shauq se ki jaan se guzar jaana chahiye"
"بول ای ہوائی شہر کدہر جانا چاہیئی","bol ai havaeshahr kidhar jaana chahiye"
"کب تک اسی کو اخری منزل کہیں گی ہم","kab tak isi ko akhiri manzil kahenge ham"
"کوئی مراد سی بہی ادہر جانا چاہیئی","kuemurad se bhi udhar jaana chahiye"
"وہ وقت ا گیا ہی کہ ساحل کو چہوڑ کر","vo vaqt aa gaya hai ki sahil ko chhod kar"
"گہری سمندروں میں اتر جانا چاہیئی","gahre samundaron men utar jaana chahiye"
"اب رفتگاں کی بات نہیں کارواں کی ہی","ab raftagan ki baat nahin karvan ki hai"
"جس سمت بہی ہو گرد سفر جانا چاہیئی","jis samt bhi ho gardesafar jaana chahiye"
"کچہ تو ثبوت خون تمنا کہیں ملی","kuchh to subutekhunetamanna kahin mile"
"ہی دل تہی تو انکہ کو بہر جانا چاہیئی","hai dil tahi to aankh ko bhar jaana chahiye"
"یا اپنی خواہشوں کو مقدس نہ جانتی","ya apni khvahishon ko muqaddas na jante"
"یا خواہشوں کی ساتہ ہی مر جانا چاہیئی","ya khvahishon ke saath hi mar jaana chahiye"
"ابہی کچہ اور کرشمی غزل کی دیکہتی ہیں","abhi kuchh aur karishme ghazal ke dekhte hain"
"فرازؔ اب ذرا لہجہ بدل کی دیکہتی ہیں","faraz ab zara lahja badal ke dekhte hain"
"جدائیاں تو مقدر ہیں پہر بہی جان سفر","judaiyan to muqaddar hain phir bhi janesafar"
"کچہ اور دور ذرا ساتہ چل کی دیکہتی ہیں","kuchh aur duur zara saath chal ke dekhte hain"
"رہ وفا میں حریف خرام کوئی تو ہو","rahevafa men harifekhiram koi to ho"
"سو اپنی اپ سی اگی نکل کی دیکہتی ہیں","so apne aap se aage nikal ke dekhte hain"
"تو سامنی ہی تو پہر کیوں یقیں نہیں اتا","tu samne hai to phir kyuun yaqin nahin aata"
"یہ بار بار جو انکہوں کو مل کی دیکہتی ہیں","ye baar baar jo ankhon ko mal ke dekhte hain"
"یہ کون لوگ ہیں موجود تیری محفل میں","ye kaun log hain maujud teri mahfil men"
"جو لالچوں سی تجہی مجہ کو جل کی دیکہتی ہیں","jo lalachon se tujhe mujh ko jal ke dekhte hain"
"یہ قرب کیا ہی کہ یک جاں ہوئی نہ دور رہی","ye qurb kya hai ki yakjan hue na duur rahe"
"ہزار ایک ہی قالب میں ڈہل کی دیکہتی ہیں","hazar ek hi qalib men dhal ke dekhte hain"
"نہ تجہ کو مات ہوئی ہی نہ مجہ کو مات ہوئی","na tujh ko maat hui hai na mujh ko maat hui"
"سو اب کی دونوں ہی چالیں بدل کی دیکہتی ہیں","so ab ke donon hi chalen badal ke dekhte hain"
"یہ کون ہی سر ساحل کہ ڈوبنی والی","ye kaun hai saresahil ki dubne vaale"
"سمندروں کی تہوں سی اچہل کی دیکہتی ہیں","samundaron ki tahon se uchhal ke dekhte hain"
"ابہی تلک تو نہ کندن ہوئی نہ راکہ ہوئی","abhi talak to na kundan hue na raakh hue"
"ہم اپنی اگ میں ہر روز جل کی دیکہتی ہیں","ham apni aag men har roz jal ke dekhte hain"
"بہت دنوں سی نہیں ہی کچہ اس کی خیر خبر","bahut dinon se nahin hai kuchh us ki khair khabar"
"چلو فرازؔ کو ای یار چل کی دیکہتی ہیں","chalo faraz ko ai yaar chal ke dekhte hain"
"اگرچہ زور ہواؤں نی ڈال رکہا ہی","agarche zor havaon ne daal rakkha hai"
"مگر چراغ نی لو کو سنبہال رکہا ہی","magar charagh ne lau ko sambhal rakkha hai"
"محبتوں میں تو ملنا ہی یا اجڑ جانا","mohabbaton men to milna hai ya ujad jaana"
"مزاج عشق میں کب اعتدال رکہا ہی","mizajeishq men kab etidal rakkha hai"
"ہوا میں نشہ ہی نشہ فضا میں رنگ ہی رنگ","hava men nashsha hi nashsha faza men rang hi rang"
"یہ کس نی پیرہن اپنا اچہال رکہا ہی","ye kis ne pairahan apna uchhal rakkha hai"
"بہلی دنوں کا بہروسا ہی کیا رہیں نہ رہیں","bhale dinon ka bharosa hi kya rahen na rahen"
"سو میں نی رشتۂ غم کو بحال رکہا ہی","so main ne rishtaegham ko bahal rakkha hai"
"ہم ایسی سادہ دلوں کو وہ دوست ہو کہ خدا","ham aise sadadilon ko vo dost ho ki khuda"
"سبہی نی وعدۂ فردا پہ ٹال رکہا ہی","sabhi ne vadaefarda pe taal rakkha hai"
"حساب لطف حریفاں کیا ہی جب تو کہلا","hisabelutfeharifan kiya hai jab to khula"
"کہ دوستوں نی زیادہ خیال رکہا ہی","ki doston ne ziyada khayal rakkha hai"
"بہری بہار میں اک شاخ پر کہلا ہی گلاب","bhari bahar men ik shakh par khila hai gulab"
"کہ جیسی تو نی ہتہیلی پہ گال رکہا ہی","ki jaise tu ne hatheli pe gaal rakkha hai"
"فرازؔ عشق کی دنیا تو خوبصورت تہی","faraz ishq ki duniya to khubsurat thi"
"یہ کس نی فتنۂ ہجر و وصال رکہا ہی","ye kis ne fitnaehijrovisal rakkha hai"
"ایسا ہی کہ سب خواب مسلسل نہیں ہوتی","aisa hai ki sab khvab musalsal nahin hote"
"جو اج تو ہوتی ہیں مگر کل نہیں ہوتی","jo aaj to hote hain magar kal nahin hote"
"اندر کی فضاؤں کی کرشمی بہی عجب ہیں","andar ki fazaon ke karishme bhi ajab hain"
"مینہ ٹوٹ کی برسی بہی تو بادل نہیں ہوتی","menh tuut ke barse bhi to badal nahin hote"
"کچہ مشکلیں ایسی ہیں کہ اساں نہیں ہوتیں","kuchh mushkilen aisi hain ki asan nahin hotin"
"کچہ ایسی معمی ہیں کبہی حل نہیں ہوتی","kuchh aise muamme hain kabhi hal nahin hote"
"شائستگی غم کی سبب انکہوں کی صحرا","shaistagiegham ke sabab ankhon ke sahra"
"نمناک تو ہو جاتی ہیں جل تہل نہیں ہوتی","namnak to ho jaate hain jalthal nahin hote"
"کیسی ہی تلاطم ہوں مگر قلزم جاں میں","kaise hi talatum hon magar qulzumejan men"
"کچہ یاد جزیری ہیں کہ اوجہل نہیں ہوتی","kuchh yadjazire hain ki ojhal nahin hote"
"عشاق کی مانند کئی اہل ہوس بہی","ushshaq ke manind kai ahlehavas bhi"
"پاگل تو نظر اتی ہیں پاگل نہیں ہوتی","pagal to nazar aate hain pagal nahin hote"
"سب خواہشیں پوری ہوں فرازؔ ایسا نہیں ہی","sab khvahishen puuri hon faraz aisa nahin hai"
"جیسی کئی اشعار مکمل نہیں ہوتی","jaise kai ashar mukammal nahin hote"
"ایسی چپ ہیں کہ یہ منزل بہی کڑی ہو جیسی","aise chup hain ki ye manzil bhi kadi ho jaise"
"تیرا ملنا بہی جدائی کی گہڑی ہو جیسی","tera milna bhi judai ki ghadi ho jaise"
"اپنی ہی سائی سی ہر گام لرز جاتا ہوں","apne hi saae se har gaam laraz jaata huun"
"راستی میں کوئی دیوار کہڑی ہو جیسی","raste men koi divar khadi ho jaise"
"کتنی ناداں ہیں تری بہولنی والی کہ تجہی","kitne nadan hain tire bhulne vaale ki tujhe"
"یاد کرنی کی لیی عمر پڑی ہو جیسی","yaad karne ke liye umr padi ho jaise"
"تیری ماتہی کی شکن پہلی بہی دیکہی تہی مگر","tere mathe ki shikan pahle bhi dekhi thi magar"
"یہ گرہ اب کی مری دل میں پڑی ہو جیسی","ye girah ab ke mire dil men padi ho jaise"
"منزلیں دور بہی ہیں منزلیں نزدیک بہی ہیں","manzilen duur bhi hain manzilen nazdik bhi hain"
"اپنی ہی پاؤں میں زنجیر پڑی ہو جیسی","apne hi paanv men zanjir padi ho jaise"
"اج دل کہول کی روئی ہیں تو یوں خوش ہیں فرازؔ","aaj dil khol ke roe hain to yuun khush hain faraz"
"چند لمحوں کی یہ راحت بہی بڑی ہو جیسی","chand lamhon ki ye rahat bhi badi ho jaise"
"عجب جنون مسافت میں گہر سی نکلا تہا","ajab jununemasafat men ghar se nikla tha"
"خبر نہیں ہی کہ سورج کدہر سی نکلا تہا","khabar nahin hai ki suraj kidhar se nikla tha"
"یہ کون پہر سی انہیں راستوں میں چہوڑ گیا","ye kaun phir se unhin raston men chhod gaya"
"ابہی ابہی تو عذاب سفر سی نکلا تہا","abhi abhi to azabesafar se nikla tha"
"یہ تیر دل میں مگر بی سبب نہیں اترا","ye tiir dil men magar besabab nahin utra"
"کوئی تو حرف لب چارہ گر سی نکلا تہا","koi to harf labecharagar se nikla tha"
"یہ اب جو اگ بنا شہر شہر پہیلا ہی","ye ab jo aag bana shahr shahr phaila hai"
"یہی دہواں مری دیوار و در سی نکلا تہا","yahi dhuan mire divarodar se nikla tha"
"میں رات ٹوٹ کی رویا تو چین سی سویا","main raat tuut ke roya to chain se soya"
"کہ دل کا زہر مری چشم تر سی نکلا تہا","ki dil ka zahr miri chashmetar se nikla tha"
"یہ اب جو سر ہیں خمیدہ کلاہ کی خاطر","ye ab jo sar hain khamida kulah ki khatir"
"یہ عیب بہی تو ہم اہل ہنر سی نکلا تہا","ye aib bhi to ham ahlehunar se nikla tha"
"وہ قیس اب جسی مجنوں پکارتی ہیں فرازؔ","vo qais ab jise majnun pukarte hain faraz"
"تری طرح کوئی دیوانہ گہر سی نکلا تہا","tiri tarah koi divana ghar se nikla tha"
"اول اول کی دوستی ہی ابہی","avval avval ki dosti hai abhi"
"اک غزل ہی کہ ہو رہی ہی ابہی","ik ghazal hai ki ho rahi hai abhi"
"میں بہی شہر وفا میں نو وارد","main bhi shahrevafa men nauvarid"
"وہ بہی رک رک کی چل رہی ہی ابہی","vo bhi ruk ruk ke chal rahi hai abhi"
"میں بہی ایسا کہاں کا زود شناس","main bhi aisa kahan ka zudshanas"
"وہ بہی لگتا ہی سوچتی ہی ابہی","vo bhi lagta hai sochti hai abhi"
"دل کی وارفتگی ہی اپنی جگہ","dil ki varaftagi hai apni jagah"
"پہر بہی کچہ احتیاط سی ہی ابہی","phir bhi kuchh ehtiyat si hai abhi"
"گرچہ پہلا سا اجتناب نہیں","garche pahla sa ijtinab nahin"
"پہر بہی کم کم سپردگی ہی ابہی","phir bhi kam kam supurdagi hai abhi"
"کیسا موسم ہی کچہ نہیں کہلتا","kaisa mausam hai kuchh nahin khulta"
"بوندا باندی بہی دہوپ بہی ہی ابہی","bundabandi bhi dhuup bhi hai abhi"
"خود کلامی میں کب یہ نشہ تہا","khudkalami men kab ye nashsha tha"
"جس طرح روبرو کوئی ہی ابہی","jis tarah rubaru koi hai abhi"
"قربتیں لاکہ خوبصورت ہوں","qurbaten laakh khubsurat hon"
"دوریوں میں بہی دل کشی ہی ابہی","duriyon men bhi dilkashi hai abhi"
"فصل گل میں بہار پہلا گلاب","faslegul men bahar pahla gulab"
"کس کی زلفوں میں ٹانکتی ہی ابہی","kis ki zulfon men tankti hai abhi"
"مدتیں ہو گئیں فرازؔ مگر","muddaten ho gaiin faraz magar"
"وہ جو دیوانگی کہ تہی ہی ابہی","vo jo divangi ki thi hai abhi"
"دوست بن کر بہی نہیں ساتہ نبہانی والا","dost ban kar bhi nahin saath nibhane vaala"
"وہی انداز ہی ظالم کا زمانی والا","vahi andaz hai zalim ka zamane vaala"
"اب اسی لوگ سمجہتی ہیں گرفتار مرا","ab use log samajhte hain giraftar mira"
"سخت نادم ہی مجہی دام میں لانی والا","sakht nadim hai mujhe daam men laane vaala"
"صبح دم چہوڑ گیا نکہت گل کی صورت","subhdam chhod gaya nikhategul ki surat"
"رات کو غنچۂ دل میں سمٹ انی والا","raat ko ghunchaedil men simat aane vaala"
"کیا کہیں کتنی مراسم تہی ہماری اس سی","kya kahen kitne marasim the hamare us se"
"وہ جو اک شخص ہی منہ پہیر کی جانی والا","vo jo ik shakhs hai munh pher ke jaane vaala"
"تیری ہوتی ہوئی ا جاتی تہی ساری دنیا","tere hote hue aa jaati thi saari duniya"
"اج تنہا ہوں تو کوئی نہیں انی والا","aaj tanha huun to koi nahin aane vaala"
"منتظر کس کا ہوں ٹوٹی ہوئی دہلیز پہ میں","muntazir kis ka huun tuuti hui dahliz pe main"
"کون ائی گا یہاں کون ہی انی والا","kaun aaega yahan kaun hai aane vaala"
"کیا خبر تہی جو مری جاں میں گہلا ہی اتنا","kya khabar thi jo miri jaan men ghula hai itna"
"ہی وہی مجہ کو سر دار بہی لانی والا","hai vahi mujh ko saredar bhi laane vaala"
"میں نی دیکہا ہی بہاروں میں چمن کو جلتی","main ne dekha hai baharon men chaman ko jalte"
"ہی کوئی خواب کی تعبیر بتانی والا","hai koi khvab ki tabir batane vaala"
"تم تکلف کو بہی اخلاص سمجہتی ہو فرازؔ","tum takalluf ko bhi ikhlas samajhte ho faraz"
"دوست ہوتا نہیں ہر ہاتہ ملانی والا","dost hota nahin har haath milane vaala"
"دکہ فسانہ نہیں کہ تجہ سی کہیں","dukh fasana nahin ki tujh se kahen"
"دل بہی مانا نہیں کہ تجہ سی کہیں","dil bhi maana nahin ki tujh se kahen"
"اج تک اپنی بیکلی کا سبب","aaj tak apni bekali ka sabab"
"خود بہی جانا نہیں کہ تجہ سی کہیں","khud bhi jaana nahin ki tujh se kahen"
"بی طرح حال دل ہی اور تجہ سی","betarah haledil hai aur tujh se"
"دوستانہ نہیں کہ تجہ سی کہیں","dostana nahin ki tujh se kahen"
"ایک تو حرف اشنا تہا مگر","ek tu harfeashna tha magar"
"اب زمانہ نہیں کہ تجہ سی کہیں","ab zamana nahin ki tujh se kahen"
"قاصدا ہم فقیر لوگوں کا","qasida ham faqir logon ka"
"اک ٹہکانہ نہیں کہ تجہ سی کہیں","ik thikana nahin ki tujh se kahen"
"ای خدا درد دل ہی بخشش دوست","ai khuda dardedil hai bakhshishedost"
"اب و دانہ نہیں کہ تجہ سی کہیں","abodana nahin ki tujh se kahen"
"اب تو اپنا بہی اس گلی میں فرازؔ","ab to apna bhi us gali men faraz"
"انا جانا نہیں کہ تجہ سی کہیں","aana jaana nahin ki tujh se kahen"
"گفتگو اچہی لگی ذوق نظر اچہا لگا","guftugu achchhi lagi zauqenazar achchha laga"
"مدتوں کی بعد کوئی ہم سفر اچہا لگا","muddaton ke baad koi hamsafar achchha laga"
"دل کا دکہ جانا تو دل کا مسئلہ ہی پر ہمیں","dil ka dukh jaana to dil ka masala hai par hamen"
"اس کا ہنس دینا ہماری حال پر اچہا لگا","us ka hans dena hamare haal par achchha laga"
"ہر طرح کی بی سر و سامانیوں کی باوجود","har tarah ki besarosamaniyon ke bavajud"
"اج وہ ایا تو مجہ کو اپنا گہر اچہا لگا","aaj vo aaya to mujh ko apna ghar achchha laga"
"باغباں گلچیں کو چاہی جو کہی ہم کو تو پہول","baghban gulchin ko chahe jo kahe ham ko to phuul"
"شاخ سی بڑہ کر کف دل دار پر اچہا لگا","shakh se badh kar kafedildar par achchha laga"
"کوئی مقتل میں نہ پہنچا کون ظالم تہا جسی","koi maqtal men na pahuncha kaun zalim tha jise"
"تیغ قاتل سی زیادہ اپنا سر اچہا لگا","tegheqatil se ziyada apna sar achchha laga"
"ہم بہی قائل ہیں وفا میں استواری کی مگر","ham bhi qaael hain vafa men ustuvari ke magar"
"کوئی پوچہی کون کس کو عمر بہر اچہا لگا","koi puchhe kaun kis ko umr bhar achchha laga"
"اپنی اپنی چاہتیں ہیں لوگ اب جو بہی کہیں","apni apni chahaten hain log ab jo bhi kahen"
"اک پری پیکر کو اک اشفتہ سر اچہا لگا","ik paripaikar ko ik ashuftasar achchha laga"
"میرؔ کی مانند اکثر زیست کرتا تہا فرازؔ","mir ke manind aksar ziist karta tha faraz"
"تہا تو وہ دیوانہ سا شاعر مگر اچہا لگا","tha to vo divana sa shair magar achchha laga"
"ہر کوئی دل کی ہتہیلی پہ ہی صحرا رکہی","har koi dil ki hatheli pe hai sahra rakkhe"
"کس کو سیراب کری وہ کسی پیاسا رکہی","kis ko sairab kare vo kise pyasa rakkhe"
"عمر بہر کون نبہاتا ہی تعلق اتنا","umr bhar kaun nibhata hai taalluq itna"
"ای مری جان کی دشمن تجہی اللہ رکہی","ai miri jaan ke dushman tujhe allah rakkhe"
"ہم کو اچہا نہیں لگتا کوئی ہم نام ترا","ham ko achchha nahin lagta koi hamnam tira"
"کوئی تجہ سا ہو تو پہر نام بہی تجہ سا رکہی","koi tujh sa ho to phir naam bhi tujh sa rakkhe"
"دل بہی پاگل ہی کہ اس شخص سی وابستہ ہی","dil bhi pagal hai ki us shakhs se vabasta hai"
"جو کسی اور کا ہونی دی نہ اپنا رکہی","jo kisi aur ka hone de na apna rakkhe"
"کم نہیں طمع عبادت بہی تو حرص زر سی","kam nahin tamaeibadat bhi to hirsezar se"
"فقر تو وہ ہی کہ جو دین نہ دنیا رکہی","faqr to vo hai ki jo diin na duniya rakkhe"
"ہنس نہ اتنا بہی فقیروں کی اکیلی پن پر","hans na itna bhi faqiron ke akelepan par"
"جا خدا میری طرح تجہ کو بہی تنہا رکہی","ja khuda meri tarah tujh ko bhi tanha rakkhe"
"یہ قناعت ہی اطاعت ہی کہ چاہت ہی فرازؔ","ye qanaat hai itaat hai ki chahat hai faraz"
"ہم تو راضی ہیں وہ جس حال میں جیسا رکہی","ham to raazi hain vo jis haal men jaisa rakkhe"
"ہوا کی زور سی پندار بام و در بہی گیا","hava ke zor se pindarebamodar bhi gaya"
"چراغ کو جو بچاتی تہی ان کا گہر بہی گیا","charagh ko jo bachate the un ka ghar bhi gaya"
"پکارتی رہی محفوظ کشتیوں والی","pukarte rahe mahfuz kashtiyon vaale"
"میں ڈوبتا ہوا دریا کی پار اتر بہی گیا","main dubta hua dariya ke paar utar bhi gaya"
"اب احتیاط کی دیوار کیا اٹہاتی ہو","ab ehtiyat ki divar kya uthate ho"
"جو چور دل میں چہپا تہا وہ کام کر بہی گیا","jo chor dil men chhupa tha vo kaam kar bhi gaya"
"میں چپ رہا کہ اسی میں تہی عافیت جاں کی","main chup raha ki isi men thi afiyat jaan ki"
"کوئی تو میری طرح تہا جو دار پر بہی گیا","koi to meri tarah tha jo daar par bhi gaya"
"سلگتی سوچتی ویران موسموں کی طرح","sulagte sochte viran mausamon ki tarah"
"کڑا تہا عہد جوانی مگر گزر بہی گیا","kada tha ahdejavani magar guzar bhi gaya"
"جسی بہلا نہ سکا اس کو یاد کیا رکہتا","jise bhula na saka us ko yaad kya rakhta"
"جو نام لب پہ رہا ذہن سی اتر بہی گیا","jo naam lab pe raha zehn se utar bhi gaya"
"پہٹی پہٹی ہوئی انکہوں سی یوں نہ دیکہ مجہی","phati phati hui ankhon se yuun na dekh mujhe"
"تجہی تلاش ہی جس شخص کی وہ مر بہی گیا","tujhe talash hai jis shakhs ki vo mar bhi gaya"
